cenario,modo,arquivo,vazao_min_mbps,vazao_media_mbps,vazao_max_mbps,desvio_padrao_mbps,dns_media_s,http_media_s,total_media_s,taxa_erro,retransmissoes_media,amostras
A,rudp,arquivo_100kb.bin,2.6426801377002733,2.6736229028838627,2.7054317163199038,0.020314542696430855,0.010308008799620438,0.29560666070028674,0.3064166126016062,0.0,0.0,10
A,rudp,arquivo_10mb.bin,3.0706878184406654,3.078531275702873,3.0903964841606957,0.006206840261358901,0.01029731259768596,27.19045447520184,27.24883365190035,0.0,0.0,10
A,rudp,arquivo_1mb.bin,3.02921780669278,3.0388156037811958,3.0524109326259508,0.007515227219549885,0.010401017096592113,2.7489279204994093,2.7605012029001954,0.0,0.0,10
A,rudp,index.html,0.10060947534868857,0.11454576162486066,0.11711405351841182,0.004925423813311747,0.010365783498855308,0.03289545659936266,0.043662164300621954,0.0,0.0,10
A,tcp,arquivo_100kb.bin,12.568188600065056,12.764513776770183,12.830810584662775,0.07559878779167972,0.010391955701925326,0.05327953990054084,0.06417997209791793,0.0,0.0,10
A,tcp,arquivo_10mb.bin,110.91211445239882,125.9708968211653,139.95718191152866,9.668934152995499,0.010356472301646135,0.6494553822019953,0.6695303952030371,0.0,0.0,10
A,tcp,arquivo_1mb.bin,55.861262294886195,62.83304062698873,69.92347693080468,5.2826992690391075,0.010333635000279173,0.12232715339778225,0.1343584929010831,0.0,0.0,10
A,tcp,index.html,0.0811101654898738,0.14287704768636808,0.15105945876293467,0.021720409730096403,0.01136337089992594,0.024391512500005774,0.036159624402353076,0.0,0.0,10
B,rudp,arquivo_100kb.bin,0.3313607844891426,0.3313607844891426,0.3313607844891426,,1.0516879070055438,1.4200087829958647,2.4722297819971573,0.0,0.0,1
B,rudp,index.html,0.004146644849124521,0.019029172314566085,0.024636129743012228,0.008950336255812796,0.15053713959932793,0.25242134819854983,0.4033846134014311,0.0,0.2,10
B,tcp,arquivo_100kb.bin,1.463076897027332,2.5609427323142633,2.6847471891958143,0.38575370319170366,0.05049468989745946,0.27978496159921634,0.33079593790025685,0.0,0.0,10
B,tcp,arquivo_10mb.bin,25.156187074817787,40.84200016395194,63.17145864438049,11.545649686211208,0.3507812882002327,1.8388631945985252,2.204017867300718,0.0,0.0,10
B,tcp,arquivo_1mb.bin,7.901031089167155,12.036210577277698,14.944784821678416,2.8067921356607637,0.05046685319830431,0.6854866237976239,0.7378132422018098,0.0,0.0,10
B,tcp,index.html,0.0022818889287848803,0.029286253431475822,0.03241354341507367,0.009488497718333303,0.1505336399990483,0.20695116169808897,0.35791956540051617,0.0,0.0,10
C,rudp,index.html,0.00355538994883309,0.008600173877791816,0.012390234547401352,0.004718073607757168,0.1004722614286168,0.7310557732832551,0.8319420587171668,0.0,0.42857142857142855,7
C,tcp,arquivo_100kb.bin,0.31426250044615156,1.2041780998243365,1.3532556350505118,0.3430216067438782,0.30063530820043527,0.534498744297889,0.8356826866991469,0.0,0.0,10
C,tcp,arquivo_10mb.bin,15.70244160675645,24.121972938086053,34.62125377909835,5.872113125041085,0.10047457619803027,3.539610245700169,3.6616722985971135,0.0,0.0,10
C,tcp,arquivo_1mb.bin,2.0078196085975586,5.992658783262754,7.543968053468176,1.7629476527275367,0.30068052430142417,1.3360748912004055,1.638733219599817,0.0,0.0,10
C,tcp,index.html,0.0021643210855680555,0.0125942796052184,0.016389893072536167,0.006143846838368139,0.3007065762983984,0.37037015660171163,0.6715257006988395,0.0,0.0,10
